Meets/Tests Rate,Masters/Test Rate,Approaches/Test Rate,Meets/ELA-Reading,Masters/ELA-Reading,Approaches/ELA-Reading,CAMPUSID,School,# Enrolled,% Enrolled,# Econ Disadv,% Econ Disadv,# LEP,% LEP,# Special Ed,% Special Ed,Grade Span
34.0,17.0,64.0,31.0,18.0,64.0,11901109,BLUEBONNET EL,310,39.900002,601,77.400002,291,37.5,72,9.3000002,'PK - 04
28.0,12.0,61.0,26.0,11.0,60.0,11901110,LOST PINES EL,246,37.0,577,86.800003,324,48.700001,74,11.1,'PK - 04
38.0,8.0,68.0,35.0,3.0,58.0,11902001,ELGIN H S,1284,100.0,891,69.400002,173,13.5,127,9.8999996,'09 - 12
0.0,0.0,0.0,0.0,0.0,0.0,11902003,BASTROP COUNTY JUVENILE BOOT CAMP,1,100.0,1,100.0,0,0.0,0,0.0,'10 - 10
11.0,4.0,49.0,10.0,0.0,34.0,11902004,PHOENIX H S,50,100.0,39,78.0,9,18.0,7,14.0,'09 - 12
29.0,10.0,61.0,31.0,12.0,60.0,11902041,ELGIN MIDDLE,1023,100.0,803,78.5,325,31.799999,116,11.3,'06 - 08
23.0,8.0,56.0,29.0,10.0,64.0,11902101,BOOKER T WASHINGTON EL,342,53.200001,539,83.800003,338,52.599998,58,9.0,'KG - 05
28.0,13.0,62.0,32.0,16.0,67.0,11902102,ELGIN EL,284,35.599998,676,84.699997,346,43.400002,78,9.8000002,'EE - 05
29.0,11.0,59.0,36.0,15.0,69.0,11902103,NEIDIG EL,317,49.599998,483,75.599998,190,29.700001,70,11.0,'KG - 05
52.0,16.0,81.0,54.0,9.0,75.0,11904002,SMITHVILLE H S,547,100.0,281,51.400002,21,3.8,68,12.4,'09 - 12
44.0,19.0,76.0,48.0,25.0,77.0,11904041,SMITHVILLE J H,424,100.0,247,58.299999,29,6.8000002,46,10.8,'06 - 08
41.0,21.0,70.0,39.0,19.0,69.0,11904101,SMITHVILLE EL,387,100.0,235,60.700001,43,11.1,31,8.0,'03 - 05
46.0,16.0,74.0,51.0,14.0,77.0,11905001,MCDADE H S,147,100.0,86,58.5,13,8.8000002,13,8.8000002,'06 - 12
49.0,27.0,85.0,53.0,31.0,91.0,11905101,MCDADE EL,102,43.400002,147,62.599998,47,20.0,23,9.8000002,'PK - 05
79.0,34.0,95.0,73.0,19.0,90.0,12901001,SEYMOUR H S,152,100.0,77,50.700001,0,0.0,18,11.8,'09 - 12
54.0,26.0,85.0,60.0,33.0,90.0,12901042,SEYMOUR MIDDLE,176,100.0,97,55.099998,0,0.0,19,10.8,'05 - 08
53.0,29.0,89.0,51.0,32.0,89.0,12901101,SEYMOUR EL,89,35.0,164,64.599998,1,0.40000001,37,14.6,'PK - 04
45.0,17.0,85.0,53.0,24.0,89.0,13801101,ST MARY'S ACADEMY CHARTER SCHOOL,227,52.799999,355,82.599998,7,1.6,35,8.1000004,'KG - 06
39.0,13.0,65.0,30.0,3.0,48.0,13901001,A C JONES H S,984,100.0,786,79.900002,21,2.0999999,100,10.2,'09 - 12
91.0,21.0,100.0,90.0,10.0,100.0,13901004,A C JONES HEALTH PROFESSIONS MAGNE,41,100.0,41,100.0,0,0.0,0,0.0,'09 - 10
26.0,7.0,63.0,27.0,7.0,64.0,13901041,MORENO J H,701,100.0,605,86.300003,19,2.7,74,10.6,'06 - 08
80.0,40.0,99.0,85.0,56.0,100.0,13901042,THE JOE BARNHART ACADEMY,112,100.0,66,58.900002,0,0.0,2,1.8,'06 - 08
39.0,17.0,76.0,43.0,19.0,80.0,13901101,R A HALL EL,317,61.400002,439,85.099998,16,3.0999999,50,9.6999998,'01 - 05
27.0,12.0,61.0,27.0,10.0,66.0,13901102,FADDEN-MCKEOWN-CHAMBLISS EL,359,62.0,517,89.300003,14,2.4000001,56,9.6999998,'01 - 05
46.0,21.0,85.0,46.0,19.0,79.0,13902101,PAWNEE EL / J H,71,22.299999,270,84.900002,6,1.9,15,4.6999998,'PK - 08
34.0,7.0,71.0,36.0,8.0,66.0,13903001,PETTUS SECONDARY,230,100.0,164,71.300003,1,0.40000001,21,9.1000004,'06 - 12
39.0,19.0,85.0,41.0,20.0,88.0,13903101,PETTUS EL,87,46.5,148,79.099998,1,0.5,23,12.3,'PK - 05
56.0,20.0,79.0,52.0,10.0,70.0,13905001,SKIDMORE-TYNAN H S,273,100.0,164,60.099998,2,0.69999999,34,12.5,'09 - 12
50.0,21.0,84.0,53.0,30.0,88.0,13905041,SKIDMORE-TYNAN J H,194,100.0,123,63.400002,2,1.0,16,8.199999799999999,'06 - 08
44.0,19.0,82.0,54.0,25.0,91.0,13905101,SKIDMORE-TYNAN EL,191,53.200001,246,68.5,10,2.8,38,10.6,'EE - 05
10.0,2.0,34.0,10.0,1.0,27.0,14801001,RICHARD MILBURN ALTER H S (KILLEEN,232,100.0,165,71.099998,8,3.4000001,41,17.700001,'09 - 12
6.0,1.0,33.0,7.0,0.0,25.0,14801002,RICHARD MILBURN ACADEMY ODESSA,477,100.0,207,43.400002,23,4.8000002,26,5.5,'09 - 12
9.0,1.0,39.0,8.0,0.0,31.0,14801004,RICHARD MILBURN ACADEMY LUBBOCK,130,100.0,115,88.5,1,0.80000001,20,15.4,'09 - 12
10.0,1.0,49.0,12.0,0.0,38.0,14801005,RICHARD MILBURN ACADEMY HOUSTON (S,211,100.0,132,62.599998,31,14.7,12,5.6999998,'09 - 12
17.0,3.0,50.0,16.0,0.0,39.0,14801006,RICHARD MILBURN ACADEMY FORT WORTH,173,100.0,146,84.400002,15,8.6999998,27,15.6,'09 - 12
