campname,cpe0312c,cpe0312p,cpetecoc,cpetecop,cpetlepc,cpetlepp,cpetspec,cpetspep,grdspan,CAMPUSID
BAMMEL MIDDLE,939,100,647,68.900002,208,22.200001,94,10,'06 - 08,101919046
STELLE CLAUGHTON MIDDLE,1214,100,804,66.199997,384,31.6,115,9.5,'06 - 08,101919047
RICKEY C BAILEY MIDDLE,1309,100,947,72.300003,322,24.6,125,9.5,'06 - 08,101919048
EDWARD ROBERSON MIDDLE,831,100,637,76.699997,181,21.799999,26,3.0999999,'06 - 08,101919050
BAMMEL EL,353,44.5,580,73.099998,148,18.700001,50,6.3000002,'EE - 07,101919102
PONDEROSA EL,318,42.700001,572,76.900002,284,38.200001,75,10.1,'PK - 06,101919103
JOHN WINSHIP EL,262,51.5,324,63.700001,46,9,50,9.8000002,'PK - 05,101919104
PAT REYNOLDS EL,367,48.200001,569,74.800003,304,39.900002,59,7.8000002,'EE - 05,101919105
MEYER EL,328,44.5,599,81.300003,242,32.799999,73,9.8999996,'EE - 08,101919106
MILDRED JENKINS EL,325,51.900002,492,78.599998,146,23.299999,74,11.8,'PK - 05,101919107
PEARL M HIRSCH EL,348,47.400002,544,74.099998,147,20,69,9.3999996,'EE - 05,101919108
ANDERSON EL,299,47.400002,449,71.199997,147,23.299999,50,7.9000001,'EE - 06,101919109
JOAN LINK EL,275,44.599998,533,86.400002,323,52.400002,46,7.5,'EE - 05,101919110
SMITH EL,276,46.299999,413,69.300003,117,19.6,68,11.4,'EE - 08,101919111
BENEKE EL,320,46.599998,561,81.800003,322,46.900002,59,8.6000004,'EE - 06,101919112
DELORAS E THOMPSON EL,307,47.900002,506,78.900002,240,37.400002,46,7.1999998,'PK - 06,101919114
HERITAGE EL,299,43.5,558,81.099998,217,31.5,78,11.3,'EE - 05,101919115
CLARK INT,553,74.900002,538,72.900002,207,28,50,6.8000002,'KG - 07,101919116
SALYERS EL,307,46.200001,507,76.400002,120,18.1,54,8.1000004,'EE - 07,101919117
CHET BURCHETT EL,369,52.200001,490,69.300003,147,20.799999,62,8.8000002,'EE - 06,101919119
MILTON COOPER EL,344,44.5,635,82.099998,364,47.099998,75,9.6999998,'EE - 06,101919120
GINGER MCNABB EL,326,45.5,562,78.5,255,35.599998,65,9.1000004,'EE - 08,101919121
NORTHGATE EL,372,50.5,451,61.299999,187,25.4,45,6.0999999,'PK - 05,101919122
DONNA LEWIS EL,294,43.900002,579,86.400002,464,69.300003,39,5.8000002,'PK - 05,101919123
CAROLEE BOOKER ELEMENTARY,398,49.700001,690,86.099998,428,53.400002,66,8.1999998,'EE - 07,101919124
HOYLAND EL,357,49.599998,506,70.300003,163,22.6,57,7.9000001,'PK - 08,101919125
RALPH EICKENROHT EL,343,51.299999,492,73.699997,223,33.400002,60,9,'EE - 05,101919126
HELEN MAJOR EL,323,46.400002,589,84.599998,280,40.200001,59,8.5,'EE - 08,101919127
