campname,cpe0312c,cpe0312p,cpetecoc,cpetecop,cpetlepc,cpetlepp,cpetspec,cpetspep,grdspan,CAMPUSID
FREEMAN EL,171,34.299999,478,96,202,40.599998,52,10.4,'EE - 04,101917103
GARDENS EL,239,37.5,604,94.800003,301,47.299999,65,10.2,'PK - 04,101917104
GARFIELD EL,245,37.099998,580,87.900002,340,51.5,68,10.3,'PK - 04,101917105
GENOA EL,251,35.700001,623,88.599998,351,49.900002,89,12.7,'EE - 04,101917106
GOLDEN ACRES EL,176,37.400002,406,86.199997,203,43.099998,66,14,'PK - 04,101917107
PEARL HALL EL,254,38.400002,621,93.900002,319,48.299999,64,9.6999998,'PK - 04,101917108
JESSUP EL,222,34.700001,622,97.300003,335,52.400002,50,7.8000002,'PK - 04,101917109
KRUSE EL,206,37.900002,525,96.5,232,42.599998,51,9.3999996,'PK - 04,101917110
MEADOR ELEMENTARY,204,35.900002,494,86.800003,147,25.799999,55,9.6999998,'EE - 04,101917111
PARKS EL,154,33.799999,438,96.300003,149,32.700001,50,11,'PK - 04,101917112
POMEROY EL,324,36.900002,790,90,576,65.599998,86,9.8000002,'EE - 04,101917113
RED BLUFF EL,165,32.900002,477,95,215,42.799999,52,10.4,'PK - 04,101917114
RICHEY EL,266,39.900002,633,94.900002,409,61.299999,54,8.1000004,'EE - 04,101917115
L F SMITH ELEMENTARY,243,35.5,640,93.400002,358,52.299999,50,7.3000002,'EE - 04,101917116
MAE SMYTHE EL,282,36.099998,727,93.099998,364,46.599998,76,9.6999998,'PK - 04,101917117
