cda00a001219r,cda00a001319r,cda00a001s19r,cda00ar01219r,cda00ar01319r,cda00ar01s19r,CAMPUSID
28,11,62,29,12,61,15907161
30,12,66,29,12,65,15907162
68,46,91,69,50,88,15907163
51,22,82,56,23,85,15907164
27,12,57,26,11,52,15907165
19,8,49,25,9,50,15907168
11,4,37,14,5,39,15907169
37,16,67,33,14,66,15907172
36,18,69,40,21,75,15907174
33,14,64,34,16,66,15907175
23,8,59,24,6,61,15907176
56,25,87,56,24,87,15907177
33,12,67,35,16,70,15907179
16,3,40,17,3,35,15907182
,,,,,,15907184
,,,,,,15907186
-1,-1,-1,-1,-1,-1,15907195
,,,,,,15907201
43,18,74,38,19,71,15907210
45,12,72,37,4,60,15908001
28,9,65,29,12,63,15908041
30,10,63,28,13,59,15908042
30,12,65,31,16,63,15908044
29,12,65,30,15,70,15908104
27,12,63,23,11,58,15908105
27,14,64,24,14,67,15908106
34,15,68,33,15,69,15908107
25,10,56,28,11,60,15908108
28,12,68,27,12,67,15908109
30,11,64,36,15,65,15908110
25,10,57,26,11,56,15908112
29,12,59,28,12,60,15908113
37,9,64,29,3,51,15909001
66,13,89,66,7,87,15909006
35,15,69,35,16,73,15909041
52,26,81,44,21,77,15909101
39,18,72,39,20,76,15909104
32,12,68,33,13,67,15909105
56,23,78,48,9,67,15910001
61,24,81,53,9,72,15910002
65,26,83,61,13,76,15910003
51,19,72,42,7,61,15910004
62,24,82,55,9,73,15910005
85,48,94,83,29,92,15910007
59,29,80,19,6,44,15910008
86,41,98,86,29,96,15910009
85,48,93,78,26,89,15910014
41,19,73,44,22,75,15910041
42,19,75,39,20,71,15910042
44,23,71,44,25,70,15910043
40,17,72,38,19,69,15910044
41,18,78,39,19,75,15910045
42,21,70,43,24,71,15910046
36,14,68,38,16,67,15910047
57,30,86,59,33,85,15910048
44,20,78,50,26,81,15910049
73,44,93,71,44,92,15910050
70,41,92,67,41,91,15910056
79,52,95,76,51,94,15910057
49,23,80,49,25,80,15910058
65,37,91,69,42,91,15910059
58,30,88,61,34,90,15910101
46,22,79,49,27,83,15910102
35,18,64,34,17,65,15910103
44,19,78,43,22,79,15910104
38,18,72,40,20,75,15910105
31,11,66,37,15,73,15910106
34,17,68,35,19,71,15910107
29,11,61,28,12,62,15910108
56,32,80,59,39,83,15910109
31,16,63,38,20,68,15910110
54,25,84,51,21,83,15910111
44,18,80,45,19,81,15910112
27,14,61,30,15,66,15910113
31,12,64,34,15,69,15910114
27,11,61,26,9,62,15910115
40,17,74,41,17,79,15910116
33,13,69,39,18,72,15910117
36,14,70,36,15,71,15910118
23,9,59,23,9,61,15910119
36,14,73,41,20,75,15910120
29,13,65,31,15,69,15910121
24,9,54,20,5,53,15910122
72,50,92,70,50,93,15910123
34,15,67,35,16,70,15910124
33,15,68,35,17,73,15910125
46,23,75,47,28,79,15910126
34,17,70,37,20,75,15910127
60,32,84,59,32,86,15910128
74,45,94,74,46,96,15910129
55,30,86,54,29,87,15910130
60,33,84,62,36,88,15910131
66,40,89,70,42,92,15910133
62,35,88,62,40,90,15910134
58,32,86,63,34,89,15910135
81,56,96,83,58,97,15910136
45,19,77,46,19,79,15910137
37,15,71,42,20,77,15910138
71,45,92,67,43,91,15910139
69,41,90,68,43,91,15910140
52,27,81,50,27,81,15910141
65,40,90,65,38,92,15910142
80,53,97,79,55,97,15910143
65,38,89,69,46,92,15910144
68,42,92,67,43,93,15910145
62,39,88,61,37,88,15910146
70,47,90,74,54,92,15910147
39,10,67,35,3,58,15911001
,,,,,,15911003
-1,-1,-1,-1,-1,-1,15911005
27,11,58,29,12,63,15911042
31,12,65,32,14,64,15911043
24,9,57,30,11,61,15911044
32,13,69,23,14,62,15911102
40,17,67,37,15,63,15911103
31,11,69,30,14,66,15911104
26,9,56,26,11,52,15911106
27,11,64,27,12,69,15911108
31,14,63,33,16,66,15911110
50,14,74,43,4,64,15912001
37,9,62,33,3,55,15912005
56,15,78,60,13,73,15912006
0,0,13,0,0,0,15912011
38,16,71,38,17,72,15912041
22,7,56,23,7,59,15912042
40,17,73,39,18,74,15912044
37,15,71,36,16,70,15912045
44,22,76,39,19,73,15912101
44,24,74,45,24,75,15912102
39,16,72,32,12,68,15912103
42,20,72,43,21,71,15912104
43,20,76,41,19,78,15912105
34,15,60,32,15,60,15912106
53,27,84,51,26,83,15912107
49,23,82,43,20,81,15912108
43,22,75,36,16,73,15912109
28,12,60,24,11,58,15912110
45,24,76,45,24,77,15912111
66,30,91,66,26,88,15913001
58,33,86,56,32,86,15913101
68,32,92,70,28,88,15914001
53,30,84,57,34,87,15914101
53,18,77,40,3,64,15915001
42,14,69,35,5,56,15915002
61,25,82,51,9,71,15915003
73,33,90,65,15,82,15915005
100,70,100,99,53,100,15915006
69,28,88,64,15,81,15915007
77,38,90,69,16,84,15915016
67,27,87,59,10,79,15915019
50,15,76,45,5,66,15915022
76,36,90,72,22,85,15915023
69,27,88,61,9,80,15915024
72,29,89,64,13,83,15915025
38,15,72,39,19,71,15915041
34,12,68,36,13,70,15915042
39,16,74,40,19,72,15915043
30,10,64,30,11,63,15915044
51,23,80,49,28,78,15915045
36,13,73,40,17,75,15915046
48,20,82,50,26,82,15915047
38,15,73,41,18,73,15915048
39,15,75,41,18,74,15915049
50,24,81,53,29,83,15915050
46,21,78,47,24,77,15915051
51,23,82,56,30,84,15915052
58,31,86,60,37,87,15915053
45,19,78,49,26,79,15915054
58,26,88,60,32,89,15915055
43,16,77,44,21,77,15915056
75,46,94,75,48,94,15915057
59,32,87,61,36,88,15915058
60,29,89,59,34,89,15915059
61,30,89,59,34,88,15915060
27,11,61,28,11,64,15915101
30,11,65,26,10,67,15915102
44,19,72,43,16,70,15915103
62,34,88,63,35,90,15915104
25,9,62,24,10,66,15915105
43,19,79,41,19,77,15915106
47,20,81,47,22,81,15915107
40,19,78,43,18,83,15915108
47,24,76,48,25,79,15915109
41,19,67,40,19,68,15915111
40,19,77,39,18,78,15915112
47,22,81,40,19,78,15915113
38,17,73,33,14,71,15915114
35,15,71,37,18,76,15915115
31,12,68,28,12,69,15915116
28,10,65,28,12,66,15915117
26,9,60,25,9,61,15915118
39,21,72,37,19,74,15915119
32,12,69,31,11,71,15915122
37,13,70,34,10,69,15915123
33,16,65,33,17,67,15915124
36,14,68,38,17,69,15915125
31,12,69,30,11,68,15915128
46,22,77,46,25,79,15915130
48,24,78,46,19,77,15915131
44,21,78,46,24,79,15915132
51,25,78,50,25,82,15915134
33,14,70,32,16,72,15915135
45,22,77,43,22,75,15915136
46,25,77,41,22,79,15915138
49,25,81,52,27,81,15915141
56,35,82,54,35,82,15915143
48,23,78,46,24,78,15915144
43,19,75,47,21,80,15915145
47,25,79,48,26,82,15915148
46,25,75,45,27,73,15915149
50,28,81,48,29,80,15915150
59,33,88,55,32,85,15915151
74,47,92,74,51,92,15915152
41,21,72,43,24,76,15915156
47,23,80,52,24,83,15915157
36,18,69,40,21,72,15915158
39,16,73,41,18,76,15915160
59,35,88,59,33,89,15915161
31,12,68,29,13,67,15915162
57,32,87,58,33,89,15915165
66,37,89,58,33,87,15915166
62,36,86,61,34,85,15915167
50,25,84,51,26,86,15915168
41,20,74,40,21,75,15915169
52,26,85,56,31,88,15915170
42,20,77,40,20,79,15915171
38,18,71,39,19,73,15915177
66,41,89,70,46,92,15915178
56,33,82,56,31,85,15915179
72,44,94,74,48,95,15915180
72,49,91,73,49,94,15915181
40,18,79,38,19,78,15915182
51,26,83,52,28,84,15915183
41,18,73,42,21,77,15915184
37,16,68,37,17,72,15915185
61,36,90,64,39,93,15915186
56,29,86,59,30,88,15915187
50,28,79,52,31,82,15915188
26,8,63,23,8,63,15915189
61,31,87,59,27,90,15915191
42,18,77,41,18,77,15915192
58,30,87,58,33,88,15915193
58,34,85,56,33,89,15915195
56,30,87,58,31,91,15915198
56,31,85,54,30,85,15915223
41,21,76,42,22,79,15915224
51,23,81,57,26,83,15915225
54,31,82,52,30,81,15915226
51,27,83,50,27,84,15915227
62,39,87,63,38,88,15915228
77,51,96,82,55,98,15915230
57,32,87,61,35,89,15915234
70,43,90,71,51,93,15915236
47,13,74,42,6,64,15916001
29,14,48,11,0,22,15916003
,,,,,,15916005
,,,,,,15916006
50,17,75,41,6,65,15916008
93,50,100,92,30,99,15916009
55,17,80,49,6,72,15916010
25,8,59,24,9,60,15916041
49,21,80,44,21,77,15916042
38,15,71,35,15,66,15916043
28,9,62,30,12,61,15916044
43,20,77,43,21,75,15916045
30,12,67,33,15,72,15916101
35,15,69,32,16,69,15916102
37,15,70,40,17,72,15916103
45,20,80,50,27,82,15916104
30,11,69,32,14,78,15916105
70,37,93,68,37,94,15916106
41,19,74,43,24,78,15916107
49,26,79,49,28,83,15916109
